

GENERATION: 1| FITNESS: 0.01812463105076733| NR COMUNITATI: 15

GENERATION: 2| FITNESS: 0.01812463105076733| NR COMUNITATI: 15

GENERATION: 3| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 4| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 5| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 6| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 7| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 8| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 9| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 10| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 11| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 12| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 13| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 14| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 15| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 16| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 17| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 18| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 19| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 20| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 21| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 22| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 23| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 24| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 25| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 26| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 27| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 28| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 29| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 30| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 31| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 32| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 33| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 34| FITNESS: 0.029795285882948136| NR COMUNITATI: 14

GENERATION: 35| FITNESS: 0.030288096643616123| NR COMUNITATI: 16

GENERATION: 36| FITNESS: 0.030288096643616123| NR COMUNITATI: 16

GENERATION: 37| FITNESS: 0.030288096643616123| NR COMUNITATI: 16

GENERATION: 38| FITNESS: 0.030288096643616123| NR COMUNITATI: 16

GENERATION: 39| FITNESS: 0.030288096643616123| NR COMUNITATI: 16

GENERATION: 40| FITNESS: 0.030288096643616123| NR COMUNITATI: 16

GENERATION: 41| FITNESS: 0.030288096643616123| NR COMUNITATI: 16

GENERATION: 42| FITNESS: 0.03712156350143377| NR COMUNITATI: 13

GENERATION: 43| FITNESS: 0.03712156350143377| NR COMUNITATI: 13

GENERATION: 44| FITNESS: 0.03712156350143377| NR COMUNITATI: 13

GENERATION: 45| FITNESS: 0.03712156350143377| NR COMUNITATI: 13

GENERATION: 46| FITNESS: 0.03712156350143377| NR COMUNITATI: 13

GENERATION: 47| FITNESS: 0.03712156350143377| NR COMUNITATI: 13

GENERATION: 48| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 49| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 50| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 51| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 52| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 53| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 54| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 55| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 56| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 57| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 58| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 59| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 60| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 61| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 62| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 63| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 64| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 65| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 66| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 67| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 68| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 69| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 70| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 71| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 72| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 73| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 74| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 75| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 76| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 77| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 78| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 79| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 80| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 81| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 82| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 83| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 84| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 85| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 86| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 87| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 88| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 89| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 90| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 91| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 92| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 93| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 94| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 95| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 96| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 97| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 98| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 99| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 100| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 101| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 102| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 103| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 104| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 105| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 106| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 107| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 108| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 109| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 110| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 111| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 112| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 113| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 114| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 115| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 116| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 117| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 118| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 119| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

