

GENERATION: 1| FITNESS: 0.04584766635301112| NR COMUNITATI: 13

GENERATION: 2| FITNESS: 0.04584766635301112| NR COMUNITATI: 13

GENERATION: 3| FITNESS: 0.04584766635301112| NR COMUNITATI: 13

GENERATION: 4| FITNESS: 0.04584766635301112| NR COMUNITATI: 13

GENERATION: 5| FITNESS: 0.04584766635301112| NR COMUNITATI: 13

GENERATION: 6| FITNESS: 0.04584766635301112| NR COMUNITATI: 13

GENERATION: 7| FITNESS: 0.04584766635301112| NR COMUNITATI: 13

GENERATION: 8| FITNESS: 0.04584766635301112| NR COMUNITATI: 13

GENERATION: 9| FITNESS: 0.04584766635301112| NR COMUNITATI: 13

GENERATION: 10| FITNESS: 0.04584766635301112| NR COMUNITATI: 13

GENERATION: 11| FITNESS: 0.04584766635301112| NR COMUNITATI: 13

GENERATION: 12| FITNESS: 0.04584766635301112| NR COMUNITATI: 13

GENERATION: 13| FITNESS: 0.04795069955419782| NR COMUNITATI: 15

GENERATION: 14| FITNESS: 0.04795069955419782| NR COMUNITATI: 15

GENERATION: 15| FITNESS: 0.053709616877740875| NR COMUNITATI: 11

GENERATION: 16| FITNESS: 0.053709616877740875| NR COMUNITATI: 11

GENERATION: 17| FITNESS: 0.06448187740704749| NR COMUNITATI: 14

GENERATION: 18| FITNESS: 0.06448187740704749| NR COMUNITATI: 14

GENERATION: 19| FITNESS: 0.06448187740704749| NR COMUNITATI: 14

GENERATION: 20| FITNESS: 0.06448187740704749| NR COMUNITATI: 14

GENERATION: 21| FITNESS: 0.06448187740704749| NR COMUNITATI: 14

GENERATION: 22| FITNESS: 0.06448187740704749| NR COMUNITATI: 14

GENERATION: 23| FITNESS: 0.06448187740704749| NR COMUNITATI: 14

GENERATION: 24| FITNESS: 0.06448187740704749| NR COMUNITATI: 14

GENERATION: 25| FITNESS: 0.06448187740704749| NR COMUNITATI: 14

GENERATION: 26| FITNESS: 0.06448187740704749| NR COMUNITATI: 14

GENERATION: 27| FITNESS: 0.06448187740704749| NR COMUNITATI: 14

GENERATION: 28| FITNESS: 0.06448187740704749| NR COMUNITATI: 14

GENERATION: 29| FITNESS: 0.06448187740704749| NR COMUNITATI: 14

GENERATION: 30| FITNESS: 0.06448187740704749| NR COMUNITATI: 14

GENERATION: 31| FITNESS: 0.06448187740704749| NR COMUNITATI: 14

GENERATION: 32| FITNESS: 0.06448187740704749| NR COMUNITATI: 14

GENERATION: 33| FITNESS: 0.06448187740704749| NR COMUNITATI: 14

GENERATION: 34| FITNESS: 0.06448187740704749| NR COMUNITATI: 14

GENERATION: 35| FITNESS: 0.06448187740704749| NR COMUNITATI: 14

GENERATION: 36| FITNESS: 0.06448187740704749| NR COMUNITATI: 14

GENERATION: 37| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 38| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 39| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 40| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 41| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 42| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 43| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 44| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 45| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 46| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 47| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 48| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 49| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 50| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 51| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 52| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 53| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 54| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 55| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 56| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 57| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 58| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 59| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 60| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 61| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 62| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 63| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 64| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 65| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 66| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 67| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 68| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 69| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 70| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 71| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 72| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 73| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 74| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 75| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 76| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 77| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 78| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 79| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 80| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 81| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 82| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 83| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 84| FITNESS: 0.070906669546125| NR COMUNITATI: 11

